touchstart,터치해서 시작하기,Touch To Start,觸摸開始,タッチして始める,Berühren um loszulegen,Нажмите  чтобы начать
warning,경고 : 앱 삭제 시 데이터가 지워질 수 있습니다.,WARNING : Data cannot be recovered once the app is deleted.,警告：刪除應用程序後無法恢復數據。,警告:アプリの削除時にデータが消されることがあります。,Warnung: Daten können beim Löschen von Anwendungen gelöscht werden.,Предупреждение: данные не могут быть восстановлены после удаления приложения.
garage,선착장,Dock,碼頭,船着場,Pier,пирс
market,시장,Market,市場,市場,Markt,рынок
store,상점,Store,商店,商店,Ein Geschäft,магазин
body,선체,Body,船殼,船体,Rumpf,корпус
sail,돛,Sail,帆,帆,Segeln,парус
steer,선회,Steering,車削,旋回,Drehen,поворот
cannon,대포,Cannon,大砲,大砲,Kanone,пушка
fishing,낚시,Fishing,釣魚,釣り,Fischen,рыболовный
upgrade,업그레이드,UPGRADE,升級,アップグレード,Upgrade,апгрейд
hp,체력,HP,身體素質,体力,HP,HP
speed,속도,Speed,速度,速度,Speed,Speed
turn,회전,Turning,迴轉,回転,Turning,Turning
damage,공격력,Damage,攻擊力,攻撃力,Damage,Damage
catch,어획량,Catch,捕撈量,漁獲量,Catch,Catch
nextreset,다음 초기화,Next Reset,接下來初始化,次の初期化,Next Reset,Next Reset
maxlevel,최대치,MAX LEVEL,最大,最大値,Maximalwert,максимальная
buy,구매,BUY,購買,購買,Einkauf,покупка
sell,판매,SELL,拍賣,販売,Verkauf,аукцион
soldout,재고 부족,SOLD OUT,缺貨,在庫不足,Lagerknappheit,Нет в наличии
notenough,자원이 없습니다.,NOT ENOUGH,找不到資源,資源がありません。,Ich habe keine Ressourcen.,Не удается найти ресурсы
tip,팁 : 누르고 있으면 자동으로 판매 또는 구매 할 수 있습니다.,TIP : Hold to Auto Selling or Buying,提示：按住可自動出售或購買。,チップ:押していれば自動で販売、または購入できます。,Chip: Sie können es automatisch verkaufen oder kaufen  wenn Sie es drücken.,Совет. Нажмите и удерживайте  чтобы продать или купить автоматически.
freecoin,무료 코인,Free Coin,免費硬幣,無料コイン,Kostenlose Münzen,Бесплатные монеты
noads,모든 광고 제거,ALL Ads Free,移除所有廣告,すべての広告除去,Alle Anzeigen entfernen,Удалить все объявления
restore,구매 복원,Restore,恢復購買,購買復元,Restaurierung kaufen,Купить резюме
tu_move,움직이는 법,How to Move,如何移動,動く法,Bewegungsrecht,Как двигаться
tu_drag1,드래그,DRAG,拖,ドラッグ,Ziehen,лобовое сопротивление
tu_drag2,드래그 한 방향으로 배가 이동합니다.,Rotate and Move,船沿著你拖動的方向移動。,ドラッグの一方向で船が移動します。,Das Schiff bewegt sich in eine Richtung des Widerstands.,Лодка движется в направлении  которое вы тащили.
tu_tap1,더블 탭,Double Tap,雙擊,ダブルタブ,Doppelter Tab,Дважды щелкните
tu_tap2,더블탭 한 방향으로 자동 이동합니다.,Go that way,雙擊自動沿一個方向移動。,ダブルタップ、一方向に自動移動します。,Doppeltippen  automatisch in eine Richtung bewegen.,Двойной щелчок автоматически перемещается в одном направлении.
tu_mode,플레이 방법,Play Mode,如何玩,プレー方法,Spielmethode,Как играть
tu_fish1,낚시,Fishing Mode,釣魚,釣り,Fischen,рыболовный
tu_fish2,점령한 섬 근처에서 자동으로 낚시합니다.,Auto Fishing Near your Island,我們會在被佔領的島嶼附近自動捕魚。,占領した島の近くで自動的に釣りします。,Wir werden automatisch in der Nähe der besetzten Insel fischen.,Мы будем автоматически ловить рыбу вблизи оккупированных островов.
tu_fight1,전투,Fight Mode,戰鬥,戦闘,Schlacht,бой
tu_fight2,적이 근처에 있으면 자동으로 공격합니다.,Win and Get Islands,如果敵人在附近，它會自動攻擊。,敵が近くにある場合、自動的に攻撃します。,Wenn sich Feinde in der Nähe befinden  greifen sie automatisch an.,Если враг находится поблизости  он автоматически атакует.
select_flag,깃발을 선택하세요.,Select Your Flag,請選擇一個標誌。,旗を選択してください。,Bitte wählen Sie eine Flagge.,Выберите логотип.
start,시작,START,入門,開始,Start,Начало работы
welcome,점령 성공,Welcome to,佔領成功,占領成功,Erfolgreich besetzt,Профессия успеха
get,획득,GET,獲得,獲得,Erwerb,получить
destroy,당신의 배가 파괴되었습니다.,Your Ship was destroyed,你的船被毀了,あなたの船が破壊されました。,Dein Schiff wurde zerstört.,Ваш корабль уничтожен
goisland,마지막 섬으로 돌아가기,Go To Last Island,回到最後一個島,最後の島に戻る,Zurück zur letzten Insel,Вернуться на последний остров
restart_ads,+<color=#FFC300FF>30%</color> 체력 회복,+Recovery <color=#FFC300FF>30%</color> HP,+<color=#FFC300FF>30％</color>恢復體力,+<color=#FFC300FF>30%</color>体力回復,+<color=#FFC300FF> 30% </color>Heilung,+<color=#FFC300FF> 30% </color>восстановления
restart_coin,<color=#FFC300FF>100%</color> 체력 부활,Restart Here with <color=#FFC300FF>100%</color> HP,<color=#FFC300FF>100％</color>復活,<color=#FFC300FF>100%</color>体力復活,<color=#FFC300FF>100% </color> Wiederbelebung der physikalischen Stärke,<color=#FFC300FF>100% </color>  Воскрешение
cong,축하합니다!,Congratulation!,恭喜！,おめでとうございます!,Herzlichen Glückwunsch!,Поздравляем!
ending1,모든 섬을 점령하였습니다.,You Got All Islands!,所有的島嶼都被佔領。,全ての島々を占領しました。,Wir besetzten alle Inseln.,Все острова заняты.
wait,다음 지역으로 이동해보세요!,Please go to the next area!,請去下一個區域！,次のエリアに行ってください！,Bitte gehe in den nächsten Bereich!,Пожалуйста  перейдите к следующей области!
set_des,경로 지정,Set Destination,指定路徑,経路指定,Routing,Укажите путь
reward,보상,REWARD,賠償金,補償,Entschädigung,компенсация
